,Team,SampleSize,Profit,ProfitPerGame,,-0.070452069
19,TBA,0,NA,#VALUE!,,
12,COL,47,27.04120879,0.575344868,,
10,HOU,5,0.921611722,0.184322344,,
26,CLE,59,9.189092389,0.155747329,,
13,CIN,46,6.401078551,0.139153882,,
8,MIL,110,13.76551079,0.125141007,,
28,BOS,67,5.63041107,0.084035986,,
25,DET,60,2.338624812,0.03897708,,
24,KCA,41,1.553459503,0.037889256,,
21,OAK,157,1.996642247,0.012717467,,
29,BAL,42,0.426752825,0.010160782,,
27,CHA,59,0.446378205,0.007565732,,
9,LAN,102,-1.123109483,-0.011010877,,
17,TOR,155,-1.73306831,-0.011181086,,
23,MIN,47,-0.607529508,-0.01292616,,
14,CHN,69,-4.824827025,-0.069925029,,
1,WAS,53,-4.536935287,-0.085602553,,
16,ARI,2,-0.230769231,-0.115384615,,
3,SFN,156,-20.40997151,-0.130833151,,
6,PHI,46,-6.292043142,-0.136783547,,
7,NYN,62,-9.144973545,-0.147499573,,
15,ATL,28,-4.246805047,-0.151671609,,
4,SDN,164,-26.07028897,-0.158965177,,
30,ANA,84,-14.89582825,-0.177331289,,
20,SEA,121,-22.34667576,-0.184683271,,
18,TEX,22,-4.09002849,-0.185910386,,
22,NYA,73,-16.88691494,-0.231327602,,
2,SLN,44,-19.63764754,-0.446310171,,
5,PIT,48,-21.52362637,-0.448408883,,
11,FLO,3,-3,-1,,
